frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
329,10953.1,32,497,408,,,,,,,,,,,,,,,
330,10985.2,31,498,436,,,,,,,,,,,,,,,
331,11017.5,30,498,456,,,,,,,,,,,,,,,
332,11053.4,29,500,463,,,,,,,,,,,,,,,
333,11084.7,30,501,459,,,,,,,,,,,,,,,
334,11117.2,33,501,441,,,,,,,,,,,,,,,
335,11153.1,33,500,413,,,,,,,,,,,,,,,
336,11185.2,34,500,379,,,,,,,,,,,,,,,
337,11217.6,33,501,343,,,,,,,,,,,,,,,
338,11252.8,34,502,309,,,,,,,,,,,,,,,
339,11284.9,32,500,284,,,,,,,,,,,,,,,
340,11316.8,31,500,269,,,,,,,,,,,,,,,
341,11353.0,29,500,265,,,,,,,,,,,,,,,
342,11387.5,30,499,273,,,,,,,,,,,,,,,
343,11417.0,33,499,292,,,,,,,,,,,,,,,
344,11453.0,32,496,320,,,,,,,,,,,,,,,
345,11484.6,33,493,352,,,,,,,,,,,,,,,
346,11517.1,33,496,387,,,,,,,,,,,,,,,
347,11552.8,31,493,419,,,,,,,,,,,,,,,
348,11586.9,31,492,444,,,,,,,,,,,,,,,
349,11617.0,29,492,460,,,,,,,,,,,,,,,
350,11652.9,29,492,463,,,,,,,,,,,,,,,
351,11684.9,30,490,454,,,,,,,,,,,,,,,
352,11718.6,33,491,433,,,,,,,,,,,,,,,
353,11753.2,34,488,402,,,,,,,,,,,,,,,
354,11784.8,33,488,367,,,,,,,,,,,,,,,
355,11817.0,33,487,332,,,,,,,,,,,,,,,
356,11852.6,33,488,301,,,,,,,,,,,,,,,
357,11884.7,30,489,280,,,,,,,,,,,,,,,
358,11918.0,30,488,268,,,,,,,,,,,,,,,
359,11956.9,29,489,268,,,,,,,,,,,,,,,
360,11985.0,30,489,281,,,,,,,,,,,,,,,
361,12017.0,32,487,302,,,,,,,,,,,,,,,
362,12056.9,32,489,332,,,,,,,,,,,,,,,
363,12084.8,32,488,365,,,,,,,,,,,,,,,
